"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2020-11-28","14:00","Matchweek 11","Sat","Away","D","1","1","Elche","1","6","2","33.3","0.17","0.50","18.1","0","0","0","0.5","0.5","0.09","+0.5","+0.5","Match Report"
"2020-12-05","21:00","Matchweek 12","Sat","Home","W","2","1","Barcelona","2","7","3","42.9","0.29","0.67","15.8","1","0","0","2.5","2.5","0.36","-0.5","-0.5","Match Report"
"2020-12-14","21:00","Matchweek 13","Mon","Away","L","0","4","Celta Vigo","0","12","2","16.7","0.00","0.00","18.5","2","0","0","0.6","0.6","0.05","-0.6","-0.6","Match Report"
"2020-12-20","18:30","Matchweek 14","Sun","Home","L","0","2","Getafe","0","8","1","12.5","0.00","0.00","23.2","2","0","0","0.4","0.4","0.05","-0.4","-0.4","Match Report"
"2020-12-23","22:00","Matchweek 15","Wed","Away","L","0","1","Betis","0","6","3","50.0","0.00","0.00","12.0","0","0","0","0.3","0.3","0.06","-0.3","-0.3","Match Report"
"2020-12-29","21:30","Matchweek 16","Tue","Home","D","0","0","Valladolid","0","8","3","37.5","0.00","0.00","16.0","1","0","0","0.7","0.7","0.09","-0.7","-0.7","Match Report"
"2021-01-04","21:00","Matchweek 17","Mon","Away","D","1","1","Valencia","1","9","2","22.2","0.11","0.50","12.0","0","0","0","0.8","0.8","0.09","+0.2","+0.2","Match Report"
"2021-01-10","16:15","Matchweek 18","Sun","Home","W","3","1","Alavés","3","10","7","70.0","0.30","0.43","11.6","0","0","0","2.6","2.6","0.26","+0.4","+0.4","Match Report"
"2021-01-19","19:00","Matchweek 19","Tue","Home","D","2","2","Levante","2","8","2","25.0","0.25","1.00","18.4","0","0","0","0.8","0.8","0.10","+1.2","+1.2","Match Report"
"2021-01-23","16:15","Matchweek 20","Sat","Away","L","0","3","Sevilla","0","9","3","33.3","0.00","0.00","14.1","0","0","0","0.7","0.7","0.08","-0.7","-0.7","Match Report"
"2021-01-31","16:15","Matchweek 21","Sun","Home","L","2","4","Atlético Madrid","2","11","6","54.5","0.18","0.33","16.4","1","0","0","1.2","1.2","0.11","+0.8","+0.8","Match Report"
"2021-02-07","14:00","Matchweek 22","Sun","Away","L","1","4","Real Sociedad","1","2","1","50.0","0.50","1.00","12.4","0","0","0","0.5","0.5","0.23","+0.5","+0.5","Match Report"
"2021-02-15","21:00","Matchweek 23","Mon","Home","L","0","4","Athletic Club","0","11","2","18.2","0.00","0.00","19.6","0","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
"2021-02-21","14:00","Matchweek 24","Sun","Away","D","1","1","Barcelona","1","2","0","0.0","0.00","","19.4","0","1","1","1.4","0.6","0.30","-0.4","-0.6","Match Report"
"2021-02-28","16:15","Matchweek 25","Sun","Home","L","0","1","Betis","0","5","3","60.0","0.00","0.00","21.4","0","0","0","0.2","0.2","0.04","-0.2","-0.2","Match Report"
"2021-03-06","18:30","Matchweek 26","Sat","Home","W","1","0","Eibar","1","6","2","33.3","0.17","0.50","13.4","0","0","0","1.6","1.6","0.26","-0.6","-0.6","Match Report"
"2021-03-13","14:00","Matchweek 27","Sat","Away","D","1","1","Alavés","1","8","0","0.0","0.00","","16.6","0","1","1","1.5","0.7","0.09","-0.5","-0.7","Match Report"
"2021-03-21","16:15","Matchweek 28","Sun","Away","L","1","2","Villarreal","1","9","3","33.3","0.11","0.33","17.0","0","0","0","0.9","0.9","0.11","+0.1","+0.1","Match Report"
"2021-04-04","18:30","Matchweek 29","Sun","Home","W","2","1","Valencia","2","6","2","33.3","0.33","1.00","16.8","0","0","0","0.6","0.6","0.09","+1.4","+1.4","Match Report"
"2021-04-10","14:00","Matchweek 30","Sat","Away","W","1","0","Getafe","0","8","3","37.5","0.00","0.00","18.1","0","0","0","0.7","0.7","0.09","-0.7","-0.7","Match Report"
"2021-04-18","18:30","Matchweek 33","Sun","Home","D","0","0","Celta Vigo","0","5","2","40.0","0.00","0.00","19.8","0","0","0","0.4","0.4","0.09","-0.4","-0.4","Match Report"
"2021-04-21","22:00","Matchweek 31","Wed","Home","L","0","3","Real Madrid","0","13","3","23.1","0.00","0.00","16.5","1","0","0","1.0","1.0","0.08","-1.0","-1.0","Match Report"
"2021-04-24","16:15","Matchweek 32","Sat","Away","D","1","1","Valladolid","1","6","2","33.3","0.17","0.50","17.0","1","0","0","1.1","1.1","0.30","-0.1","-0.1","Match Report"
"2021-05-02","18:30","Matchweek 34","Sun","Away","W","1","0","Granada","1","8","4","50.0","0.13","0.25","19.0","1","0","0","1.2","1.2","0.16","-0.2","-0.2","Match Report"
"2021-05-08","18:30","Matchweek 35","Sat","Home","W","2","1","Huesca","1","11","1","9.1","0.09","1.00","18.3","0","0","0","0.9","0.9","0.09","+0.1","+0.1","Match Report"
"2021-05-11","19:00","Matchweek 36","Tue","Away","L","2","3","Osasuna","2","9","3","33.3","0.11","0.33","15.4","0","1","1","1.7","1.0","0.11","+0.3","0.0","Match Report"
"2021-05-16","18:30","Matchweek 37","Sun","Home","L","1","3","Elche","1","6","2","33.3","0.00","0.00","18.4","0","1","1","1.1","0.3","0.05","-0.1","-0.3","Match Report"
"2021-05-21","21:00","Matchweek 38","Fri","Away","D","2","2","Levante","2","6","2","33.3","0.33","1.00","26.5","0","0","0","0.5","0.5","0.08","+1.5","+1.5","Match Report"
